AMBC,Ambac Financial Group Inc. Common Stock
AMC,AMC Entertainment Holdings Inc. Class A Common Stock
AMCR,Amcor plc Ordinary Shares
AME,AMETEK Inc.
AMG,Affiliated Managers Group Inc. Common Stock
AMH,American Homes 4 Rent Common Shares of Beneficial
AMK,AssetMark Financial Holdings Inc. Common Stock
AMN,AMN Healthcare Services Inc AMN Healthcare Services Inc
AMOV,America Movil S.A.B. de C.V. Class A American Depositary Shares
AMP,Ameriprise Financial Inc. Common Stock
AMPI,Advanced Merger Partners Inc. Class A Common Stock
AMPY,Amplify Energy Corp. Common Stock
AMR,Alpha Metallurgical Resources Inc. Common Stock
AMRC,Ameresco Inc. Class A Common Stock
AMRX,Amneal Pharmaceuticals Inc. Class A Common Stock
AMT,American Tower Corporation (REIT) Common Stock
AMWL,American Well Corporation Class A Common Stock
AMX,America Movil S.A.B. de C.V. American Depository Receipt Series L
AN,AutoNation Inc. Common Stock
ANAC,Arctos NorthStar Acquisition Corp. Class A Ordinary Shares
ANET,Arista Networks Inc. Common Stock
ANF,Abercrombie & Fitch Company Common Stock
ANTM,Anthem Inc. Common Stock
AOD,Aberdeen Total Dynamic Dividend Fund Common Stock
AON,Aon plc Class A Ordinary Shares (Ireland)
AONE,one Class A Ordinary Shares
AOS,A.O. Smith Corporation Common Stock
AP,Ampco-Pittsburgh Corporation Common Stock
APAM,Artisan Partners Asset Management Inc. Class A Common Stock
APD,Air Products and Chemicals Inc. Common Stock
APG,APi Group Corporation Common Stock
APGB,Apollo Strategic Growth Capital II Class A Ordinary Shares
APH,Amphenol Corporation Common Stock
APO,Apollo Global Management Inc. Class A Common Stock
APRN,Blue Apron Holdings Inc. Class A Common Stock
APSG,Apollo Strategic Growth Capital Class A Ordinary Shares
APTS,Preferred Apartment Communities Inc. Common Stock
APTV,Aptiv PLC Ordinary Shares
AQN,Algonquin Power & Utilities Corp. Common Shares
AQNA,Algonquin Power & Utilities Corp. 6.875% Fixed-to-Floating Rate Subordinated Notes Series 2018-A due October 17 2078
AQNB,Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1 2079
AQUA,Evoqua Water Technologies Corp. Common Stock
AR,Antero Resources Corporation Common Stock
ARC,ARC Document Solutions Inc. Common Stock
ARCH,Arch Resources Inc. Class A Common Stock
ARCO,Arcos Dorados Holdings Inc. Class A Shares
ARD,Ardagh Group S.A. Common Shares
ARDC,Ares Dynamic Credit Allocation Fund Inc. Common Shares
ARE,Alexandria Real Estate Equities Inc. Common Stock
ARES,Ares Management Corporation Class A Common Stock
ARGD,Argo Group International Holdings Ltd. 6.5% Senior Notes Due 2042
ARGO,Argo Group International Holdings Ltd.
ARI,Apollo Commercial Real Estate Finance Inc
ARL,American Realty Investors Inc. Common Stock
ARLO,Arlo Technologies Inc. Common Stock
ARMK,Aramark Common Stock
ARNC,Arconic Corporation Common Stock
AROC,Archrock Inc. Common Stock
ARR,ARMOUR Residential REIT Inc.
ARW,Arrow Electronics Inc. Common Stock
ASA,ASA  Gold and Precious Metals Limited
ASAI,Sendas Distribuidora S.A. ADS
ASAN,Asana Inc. Class A Common Stock
ASAQ,Atlantic Street Acquisition Corp Class A Common Stock
ASB,Associated Banc-Corp Common Stock
ASC,Ardmore Shipping Corporation Common Stock
ASG,Liberty All-Star Growth Fund Inc.
ASGI,Aberdeen Standard Global Infrastructure Income Fund Common Shares of Beneficial
ASGN,ASGN Incorporated Common Stock
ASH,Ashland Global Holdings Inc. Common Stock
ASIX,AdvanSix Inc. Common Stock
ASPL,Aspirational Consumer Lifestyle Corp. Class A Ordinary Shares
ASPN,Aspen Aerogels Inc. Common Stock
ASR,Grupo Aeroportuario del Sureste S.A. de C.V. Common Stock
ASX,ASE Technology Holding Co. Ltd. American Depositary Shares (each representing Two Common Shares)
ASZ,Austerlitz Acquisition Corporation II Class A Ordinary Shares
AT,Atlantic Power Corporation Ordinary Shares (Canada)
ATA,Americas Technology Acquisition Corp. Ordinary Shares
ATAC,Altimar Acquisition Corporation Class A Ordinary Shares
ATAQ,Altimar Acquisition Corp. III Class A Ordinary Shares
ATC,Atotech Limited Common Shares
ATCO,Atlas Corp. Common Shares
ATEN,A10 Networks Inc. Common Stock
ATGE,Adtalem Global Education Inc. Common Stock
ATH,Athene Holding Ltd. Class A Common Shares
ATHM,Autohome Inc. American Depositary Shares each representing four class A ordinary shares.
ATI,Allegheny Technologies Incorporated Common Stock
ATKR,Atkore Inc. Common Stock
ATMR,Altimar Acquisition Corp. II Class A Ordinary Shares
ATO,Atmos Energy Corporation Common Stock
ATR,AptarGroup Inc. Common Stock
ATTO,Atento S.A. Ordinary Shares
ATUS,Altice USA Inc. Class A Common Stock
AU,AngloGold Ashanti Limited Common Stock
AUD,Audacy Common Stock
AUS,Austerlitz Acquisition Corporation I Class A Ordinary Shares
AUY,Yamana Gold Inc. Ordinary Shares (Canada)
AVA,Avista Corporation Common Stock
AVAL,Grupo Aval Acciones y Valores S.A. ADR (Each representing 20 preferred shares)
AVAN,Avanti Acquisition Corp. Class A Ordinary Shares
AVB,AvalonBay Communities Inc. Common Stock
AVD,American Vanguard Corporation Common Stock ($0.10 Par Value)
AVK,Advent Convertible and Income Fund
AVLR,Avalara Inc. Common Stock
AVNS,Avanos Medical Inc. Common Stock
AVNT,Avient Corporation Common Stock
AVTR,Avantor Inc. Common Stock
AVY,Avery Dennison Corporation Common Stock
AVYA,Avaya Holdings Corp. Common Stock
AWF,Alliancebernstein Global High Income Fund
AWI,Armstrong World Industries Inc Common Stock
AWK,American Water Works Company Inc. Common Stock
AWP,Aberdeen Global Premier Properties Fund Common Shares of Beneficial
AWR,American States Water Company Common Stock
AX,Axos Financial Inc. Common Stock
AXL,American Axle & Manufacturing Holdings Inc. Common Stock
AXP,American Express Company Common Stock
AXR,AMREP Corporation Common Stock
AXS,Axis Capital Holdings Limited Common Stock
AXTA,Axalta Coating Systems Ltd. Common Shares
AYI,Acuity Brands Inc.
AYX,Alteryx Inc. Class A Common Stock
AZEK,The AZEK Company Inc. Class A Common Stock
AZO,AutoZone Inc. Common Stock
AZRE,Azure Power Global Limited Equity Shares
AZUL,Azul S.A. American Depositary Shares (each representing three preferred shares)
AZZ,AZZ Inc.
B,Barnes Group Inc. Common Stock
BA,Boeing Company (The) Common Stock
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share
BAC,Bank of America Corporation Common Stock
BAH,Booz Allen Hamilton Holding Corporation Common Stock
BAK,Braskem SA ADR
BALY,Bally's Corporation Common Stock
BAM,Brookfield Asset Management Inc. Common Stock
BAMH,Brookfield Finance Inc. 4.625% Subordinated Notes due October 16 2080
BAMI,Brookfield Finance Inc. 4.50% Perpetual Subordinated Notes
BANC,Banc of California Inc. Common Stock
BAP,Credicorp Ltd. Common Stock
BAX,Baxter International Inc. Common Stock
BB,BlackBerry Limited Common Stock
BBAR,Banco BBVA Argentina S.A. ADS
BBD,Banco Bradesco Sa American Depositary Shares
BBDC,Barings BDC Inc. Common Stock
BBDO,Banco Bradesco Sa American Depositary Shares (each representing one Common Share)
BBL,BHP Group PlcSponsored ADR
BBN,BlackRock Taxable Municipal Bond Trust Common Shares of Beneficial
BBU,Brookfield Business Partners L.P. Limited Partnership Units
BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock
BBW,Build-A-Bear Workshop Inc. Common Stock
BBY,Best Buy Co. Inc. Common Stock
BC,Brunswick Corporation Common Stock
BCAT,BlackRock Capital Allocation Trust Common Shares of Beneficial
BCC,Boise Cascade L.L.C. Common Stock
BCE,BCE Inc. Common Stock
BCEI,Bonanza Creek Energy Inc. Common Stock
BCH,Banco De Chile Banco De Chile ADS
BCO,Brinks Company (The) Common Stock
BCS,Barclays PLC Common Stock
BCSF,Bain Capital Specialty Finance Inc. Common Stock
BCX,BlackRock Resources Common Shares of Beneficial
BDC,Belden Inc Common Stock
BDJ,Blackrock Enhanced Equity Dividend Trust
BDN,Brandywine Realty Trust Common Stock
BDX,Becton Dickinson and Company Common Stock
BE,Bloom Energy Corporation Class A Common Stock
BEDU,Bright Scholar Education Holdings Limited American Depositary Shares each  representing one Class A Ordinary Share
BEKE,KE Holdings Inc American Depositary Shares (each representing three Class A Ordinary Shares)
BEN,Franklin Resources Inc. Common Stock
BEP,Brookfield Renewable Partners L.P.
BEPC,Brookfield Renewable Corporation Class A Subordinate Voting Shares
BEPH,Brookfield BRP Holdings (Canada) Inc. 4.625% Perpetual Subordinated Notes
BERY,Berry Global Group Inc. Common Stock
BEST,BEST Inc. American Depositary Shares each representing one Class A Ordinary Share
BF/A,Brown Forman Corporation
BF/B,Brown Forman Corporation
BFAM,Bright Horizons Family Solutions Inc. Common Stock
BFK,BlackRock Municipal Income Trust
BFLY,Butterfly Network Inc. Class A Common Stock
BFS,Saul Centers Inc. Common Stock
BFZ,BlackRock California Municipal Income Trust
BG,Bunge Limited Bunge Limited
BGB,Blackstone Strategic Credit Fund Common Shares
BGH,Barings Global Short Duration High Yield Fund Common Shares of Beneficial s
BGIO,BlackRock 2022 Global Income Opportunity Trust Common Shares of Beneficial
BGR,BlackRock Energy and Resources Trust
BGS,B&G Foods Inc. B&G Foods Inc. Common Stock
BGSF,BGSF Inc. Common Stock
BGT,BlackRock Floating Rate Income Trust
BGX,Blackstone Long Short Credit Income Fund Common Shares
BGY,Blackrock Enhanced International Dividend Trust
BH,Biglari Holdings Inc. Class B Common Stock
BHC,Bausch Health Companies Inc. Common Stock
BHE,Benchmark Electronics Inc. Common Stock
BHK,Blackrock Core Bond Trust Blackrock Core Bond Trust
BHLB,Berkshire Hills Bancorp Inc. Common Stock
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares)
BHR,Braemar Hotels & Resorts Inc. Common Stock
BHV,BlackRock Virginia Municipal Bond Trust
BHVN,Biohaven Pharmaceutical Holding Company Ltd. Common Shares
BIF,Boulder Growth & Income Fund Inc.
BIG,Big Lots Inc. Common Stock
BIGZ,BlackRock Innovation and Growth Trust Common Shares of Beneficial
BILL,Bill.com Holdings Inc. Common Stock
BIO,Bio-Rad Laboratories Inc. Class A Common Stock
BIO/B,Bio-Rad Laboratories Inc.
BIP,Brookfield Infrastructure Partners LP Limited Partnership Units
BIPC,Brookfield Infrastructure Partners LP Class A Subordinate Voting Shares
BIT,BlackRock Multi-Sector Income Trust Common Shares of Beneficial
BITE,Bite Acquisition Corp. Common Stock
BJ,BJ's Wholesale Club Holdings Inc. Common Stock
BK,The Bank of New York Mellon Corporation Common Stock
BKD,Brookdale Senior Living Inc. Common Stock
BKE,Buckle Inc. (The) Common Stock
BKH,Black Hills Corporation Common Stock
BKI,Black Knight Inc. Common Stock
BKN,BlackRock Investment Quality Municipal Trust Inc. (The)
BKR,Baker Hughes Company Class A Common Stock
BKT,BlackRock Income Trust Inc. (The)
BKU,BankUnited Inc. Common Stock
BLD,TopBuild Corp. Common Stock
BLE,BlackRock Municipal Income Trust II
BLK,BlackRock Inc. Common Stock
BLL,Ball Corporation Common Stock
BLUA,BlueRiver Acquisition Corp. Class A Ordinary Shares
BLW,Blackrock Limited Duration Income Trust
BLX,Banco Latinoamericano de Comercio Exterior S.A.
BMA,Banco Macro S.A.  ADR
BME,Blackrock Health Sciences Trust
BMEZ,BlackRock Health Sciences Trust II Common Shares of Beneficial
BMI,Badger Meter Inc. Common Stock
BMO,Bank Of Montreal Common Stock
BMY,Bristol-Myers Squibb Company Common Stock
BNED,Barnes & Noble Education Inc Common Stock
BNL,Broadstone Net Lease Inc. Common Stock
BNS,Bank Nova Scotia Halifax Pfd 3 Ordinary Shares
BNY,BlackRock New York Municipal Income Trust
BOAC,Bluescape Opportunities Acquisition Corp. Class A Ordinary Shares
BOAS,BOA Acquisition Corp. Class A Common Stock
BOE,Blackrock Enhanced Global Dividend Trust Common Shares of Beneficial
BOH,Bank of Hawaii Corporation Common Stock
BOOT,Boot Barn Holdings Inc. Common Stock
BORR,Borr Drilling Limited Common Shares
BOX,Box Inc. Class A Common Stock
BP,BP p.l.c. Common Stock
BPMP,BP Midstream Partners LP Common Units representing Limited Partner s
BPT,BP Prudhoe Bay Royalty Trust Common Stock
BQ,Boqii Holding Limited American Depositary Shares representing Class A Ordinary Shares
BR,Broadridge Financial Solutions Inc.Common Stock
BRBR,BellRing Brands Inc. Class A Common Stock
BRC,Brady Corporation Common Stock
BRFS,BRF S.A.
BRK/A,Berkshire Hathaway Inc.
BRK/B,Berkshire Hathaway Inc.
BRMK,Broadmark Realty Capital Inc. Common Stock
BRO,Brown & Brown Inc. Common Stock
BRT,BRT Apartments Corp. (MD) Common Stock
BRX,Brixmor Property Group Inc. Common Stock
BSA,BrightSphere Investment Group Inc. 5.125% Notes due 2031
BSAC,Banco Santander - Chile ADS
BSBR,Banco Santander Brasil SA American Depositary Shares each representing one unit
BSIG,BrightSphere Investment Group Inc. Common Stock
BSL,Blackstone Senior Floating Rate Term Fund Common Shares of Beneficial
BSM,Black Stone Minerals L.P. Common units representing limited partner s
BSMX,Banco Santander Mexico S.A. Institucion de Banca Multiple Grupo Financiero Santander Mexico
BSN,Broadstone Acquisition Corp. Class A Ordinary Shares
BST,BlackRock Science and Technology Trust Common Shares of Beneficial
BSTZ,BlackRock Science and Technology Trust II Common Shares of Beneficial
BSX,Boston Scientific Corporation Common Stock
BTA,BlackRock Long-Term Municipal Advantage Trust BlackRock Long-Term Municipal Advantage Trust Common Shares of Beneficial
BTCM,BIT Mining Limited ADS
BTI,British American Tobacco  Industries p.l.c. Common Stock ADR
BTO,John Hancock Financial Opportunities Fund Common Stock
BTT,BlackRock Municipal 2030 Target Term Trust
BTU,Peabody Energy Corporation Common Stock
BTZ,BlackRock Credit Allocation Income Trust
BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium)
BUI,BlackRock Utility Infrastructure & Power Opportunities Trust
BUR,Burford Capital Limited Ordinary Shares
BURL,Burlington Stores Inc. Common Stock
BV,BrightView Holdings Inc. Common Stock
BVH,Bluegreen Vacations Holding Corporation Class A Common Stock
BVN,Buenaventura Mining Company Inc.
BW,Babcock & Wilcox Enterprises Inc. Common Stock
BWA,BorgWarner Inc. Common Stock
BWG,BrandywineGLOBAL Global Income Opportunities Fund Inc.
BWSN,Babcock & Wilcox Enterprises Inc. 8.125% Senior Notes due 2026
BWXT,BWX Technologies Inc. Common Stock
BX,The Blackstone Group Inc. Common Stock
BXC,Bluelinx Holdings Inc. Common Stock
BXG,Bluegreen Vacations Corporation Common Stock
BXMT,Blackstone Mortgage Trust Inc. Common Stock
BXMX,Nuveen S&P 500 Buy-Write Income Fund Common Shares of Beneficial
BXP,Boston Properties Inc. Common Stock
BXS,BancorpSouth Bank Common Stock
BY,Byline Bancorp Inc. Common Stock
BYD,Boyd Gaming Corporation Common Stock
BYM,Blackrock Municipal Income Quality Trust Common Shares of Beneficial
BZH,Beazer Homes USA Inc. Common Stock
C,Citigroup Inc. Common Stock
CAAP,Corporacion America Airports SA Common Shares
CABO,Cable One Inc. Common Stock
CACI,CACI International Inc. Class A Common Stock
CADE,Cadence Bancorporation Class A Common Stock
CAE,CAE Inc. Ordinary Shares
CAF,Morgan Stanley China A Share Fund Inc. Common Stock
CAG,ConAgra Brands Inc. Common Stock
CAH,Cardinal Health Inc. Common Stock
CAI,CAI International Inc. Common Stock
CAJ,Canon Inc. American Depositary Shares
CAL,Caleres Inc. Common Stock
CALX,Calix Inc Common Stock
CANG,Cango Inc. American Depositary Shares  each representing two (2) Class A Ordinary Shares
CAP,Capitol Investment Corp. V Class A Common Stock
CAPL,CrossAmerica Partners LP Common Units representing limited partner s
CARR,Carrier Global Corporation Common Stock
CARS,Cars.com Inc. Common Stock
CAS,Cascade Acquisition Corp. Class A Common Stock
CAT,Caterpillar Inc. Common Stock
CATO,Cato Corporation (The) Class A Common Stock
CB,Chubb Limited  Common Stock
CBAH,CBRE Acquisition Holdings Inc. Class A Common Stock
CBB,Cincinnati Bell Inc. Common Stock
CBD,Companhia Brasileira de Distribuicao American Depsitary Shares; each representing one Common Share
CBH,Virtus AllianzGI Convertible & Income 2024 Target Term Fund Common Shares of Beneficial
CBRE,CBRE Group Inc Common Stock Class A
CBT,Cabot Corporation Common Stock
CBU,Community Bank System Inc. Common Stock
CBZ,CBIZ Inc. Common Stock
CC,Chemours Company (The) Common Stock
CCAC,CITIC Capital Acquisition Corp. Class A Ordinary Shares
CCEP,Coca-Cola European Partners plc Ordinary Shares
CCI,Crown Castle International Corp. (REIT) Common Stock
CCIV,Churchill Capital Corp IV Class A Common Stock
CCJ,Cameco Corporation Common Stock
CCK,Crown Holdings Inc.
CCL,Carnival Corporation Common Stock
CCM,Concord Medical Services Holdings Limited ADS (Each represents three ordinary shares)
CCO,Clear Channel Outdoor Holdings Inc. Common Stock
CCS,Century Communities Inc. Common Stock
CCU,Compania Cervecerias Unidas S.A. Common Stock
CCV,Churchill Capital Corp V Class A Common Stock
CCVI,Churchill Capital Corp VI Class A Common Stock
CCX,Churchill Capital Corp II Class A Common Stock
CCZ,Comcast Holdings ZONES
CDAY,Ceridian HCM Holding Inc. Common Stock
CDE,Coeur Mining Inc. Common Stock
CDR,Cedar Realty Trust Inc. Common Stock
CE,Celanese Corporation Celanese Corporation Common Stock
CEA,China Eastern Airlines Corporation Ltd. Common Stock
CEE,The Central and Eastern Europe Fund Inc. (The) Common Stock
CEIX,CONSOL Energy Inc. Common Stock
CELP,Cypress Environmental Partners L.P. Common Units representing limited partner s
CEM,ClearBridge MLP and Midstream Fund Inc. Common Stock
CEN,Center Coast Brookfield MLP & Energy Infrastructure Fund
CEPU,Central Puerto S.A. American Depositary Shares
CEQP,Crestwood Equity Partners LP
CF,CF Industries Holdings Inc. Common Stock
CFG,Citizens Financial Group Inc. Common Stock
CFR,Cullen/Frost Bankers Inc. Common Stock
CFX,Colfax Corporation Common Stock
CFXA,Colfax Corporation 5.75% Tangible Equity Units
CGA,China Green Agriculture Inc. Common Stock
CGAU,Centerra Gold Inc. Common Shares
CHAA,Catcha Investment Corp. Class A Ordinary Shares
CHCT,Community Healthcare Trust Incorporated Common Stock
CHD,Church & Dwight Company Inc. Common Stock
CHE,Chemed Corp
CHGG,Chegg Inc. Common Stock
CHH,Choice Hotels International Inc. Common Stock
CHMI,Cherry Hill Mortgage Investment Corporation Common Stock
CHN,China Fund Inc. (The) Common Stock
CHPT,ChargePoint Holdings Inc. Common Stock
CHRA,Charah Solutions Inc. Common Stock
CHS,Chico's FAS Inc. Common Stock
CHT,Chunghwa Telecom Co. Ltd.
CHWY,Chewy Inc. Class A Common Stock
CI,Cigna Corporation Common Stock
CIA,Citizens Inc. Class A Common Stock ($1.00 Par)
CIB,BanColombia S.A. Common Stock
CIEN,Ciena Corporation Common Stock
CIF,MFS Intermediate High Income Fund Common Stock
CIG,Comp En De Mn Cemig ADS American Depositary Shares
CII,Blackrock Capital and Income Fund Inc.
CIM,Chimera Investment Corporation Common Stock
CINR,Ciner Resources LP Common Units representing Limited Partner s
CIO,City Office REIT Inc. Common Stock
CIR,CIRCOR International Inc. Common Stock
CIT,CIT Group Inc (DEL) Common Stock
CIXX,CI Financial Corp. Common Shares
CL,Colgate-Palmolive Company Common Stock
CLAA,Colonnade Acquisition Corp. II
CLAS,Class Acceleration Corp. Class A Common Stock
CLB,Core Laboratories N.V. Common Stock
CLDR,Cloudera Inc. Common Stock
CLDT,Chatham Lodging Trust (REIT) Common Shares of Beneficial
CLF,Cleveland-Cliffs Inc. Common Stock
CLGX,CoreLogic Inc. Common Stock
CLH,Clean Harbors Inc. Common Stock
CLI,Mack-Cali Realty Corporation Common Stock
CLII,Climate Change Crisis Real Impact I Acquisition Corporation Class A Common Stock
CLIM,Climate Real Impact Solutions II Acquisition Corporation Class A Common Stock
CLNC,Colony Credit Real Estate Inc. Class A Common Stock
CLNY,Colony Capital Inc.
CLPR,Clipper Realty Inc. Common Stock
CLR,Continental Resources Inc. Common Stock
CLS,Celestica Inc. Common Stock
CLVT,Clarivate Plc Ordinary Shares
CLW,Clearwater Paper Corporation Common Stock
CLX,Clorox Company (The) Common Stock
CM,Canadian Imperial Bank of Commerce Common Stock
CMA,Comerica Incorporated Common Stock
CMC,Commercial Metals Company Common Stock
CMCM,Cheetah Mobile Inc. American Depositary Shares each representing 10 Class Ordinary Shares
CMD,Cantel Medical Corp. Common Stock
CMG,Chipotle Mexican Grill Inc. Common Stock
CMI,Cummins Inc. Common Stock
CMO,Capstead Mortgage Corporation Common Stock
CMP,Compass Minerals Intl Inc Common Stock
CMRE,Costamare Inc. Common Stock $0.0001 par value
CMS,CMS Energy Corporation Common Stock
CMSA,CMS Energy Corporation 5.625% Junior Subordinated Notes due 2078
CMSC,CMS Energy Corporation 5.875% Junior Subordinated Notes due 2078
CMSD,CMS Energy Corporation 5.875% Junior Subordinated Notes due 2079
CMU,MFS Municipal Income Trust Common Stock
CNA,CNA Financial Corporation Common Stock
CNC,Centene Corporation Common Stock
CND,Concord Acquisition Corp. Class A Common Stock
CNF,CNFinance Holdings Limited American Depositary Shares each representing  twenty (20) Ordinary Shares
CNHI,CNH Industrial N.V. Common Shares
CNI,Canadian National Railway Company Common Stock
CNK,Cinemark Holdings Inc Cinemark Holdings Inc. Common Stock
CNMD,CONMED Corporation Common Stock
CNNE,Cannae Holdings Inc. Common Stock
CNO,CNO Financial Group Inc. Common Stock
CNP,CenterPoint Energy Inc (Holding Co) Common Stock
CNQ,Canadian Natural Resources Limited Common Stock
CNR,Cornerstone Building Brands Inc. Common Stock
CNS,Cohen & Steers Inc Common Stock
CNX,CNX Resources Corporation Common Stock
CO,Global Cord Blood Corporation Common Stock
CODI,D/B/A Compass Diversified Holdings Shares of Beneficial
COE,China Online Education Group American depositary shares each representing 15 Class A ordinary shares
COF,Capital One Financial Corporation Common Stock
COG,Cabot Oil & Gas Corporation Common Stock
COLD,Americold Realty Trust Common Shares
COMP,Compass Inc. Class A Common Stock
COO,The Cooper Companies Inc. Common Stock
COP,ConocoPhillips Common Stock
COR,CoreSite Realty Corporation Common Stock
CORR,CorEnergy Infrastructure Trust Inc. Common Stock
COTY,Coty Inc. Class A Common Stock
COUR,Coursera Inc. Common Stock
CP,Canadian Pacific Railway Limited Common Stock
